,Title,Budget,Gross,MPAArating,Runtime,IMDBRating,IMDBRatingCount,IMDBMCRating,IMDBMCRatingCount,APPROVED,G,GP,M,NC-17,NOT RATED,PASSED,PG,PG13,R,TV-14,UNRATED,X,GRRating,GRRatingCount
98,Meu Nome Não É Johnny,,,,124.0,7.2,4331.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,57
99,Black Mass,65000000.0,62563543.0,R,123.0,7.1,68356.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.79,3587
100,Beg,,,,196.0,8.0,626.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94,11925
101,The Body,,,X,112.0,8.0,66.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.95,80604
102,The Underground Man,,,,110.0,8.0,7.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,853
103,Braslet-2,,,,74.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,3683975
104,Glory,18000000.0,26830000.0,R,122.0,7.9,99270.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.98,19391
105,Ed Wood,18000000.0,5887457.0,R,127.0,7.9,138957.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.22,1856825
106,Kiki's Delivery Service,,,G,103.0,7.9,70958.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,430
107,The Right Stuff,27000000.0,21500000.0,PG,193.0,7.9,43575.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.22,29043
108,Cabaret,6000000.0,42765000.0,PG,124.0,7.9,35078.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.94,177
109,The Big Country,,,UNRATED,165.0,7.9,11030.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.03,3363
110,A Night to Remember,,,NOT RATED,123.0,7.9,10300.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,11211
111,The Train,,,UNRATED,133.0,7.9,9714.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.84,478821
112,Seven Days in May,,,APPROVED,118.0,7.9,9002.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13,1162
113,The Plague Dogs,,,PG-13,103.0,7.9,4245.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.82,4784
114,America America,,,,174.0,7.9,3334.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,388455
115,The Confession,,,GP,139.0,7.9,1953.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,496352
116,The Mortal Storm,,,PASSED,100.0,7.9,3149.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,35
117,The Endurance,,,G,97.0,7.9,1538.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,42346
118,Amintiri din copilarie,,,,72.0,7.9,327.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.83,3194
